Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,1171.827,1204.932,1068.288,1170.829,1197.192,1108.573,INF
11,664.286,547.165,644.199,583.825,546.847,511.087,INF
13,478.461,377.108,741.529,535.295,498.46,471.74,INF
16,465.806,553.88,554.233,484.192,446.349,590.26,INF
19,1072.805,830.516,677.284,608.8,1168.294,1164.252,INF
Mar21,56,64,128,256,512,1024,2048
0,864.054,871.1,1047.257,1436.822,568.841,584.468,INF
9,891.766,695.877,663.47,646.257,1191.685,802.655,INF
11,1233.406,1414.341,922.103,673.844,491.609,462.722,INF
13,833.281,840.992,528.168,669.859,556.197,1521.761,INF
15,1193.334,1186.498,1021.941,1334.027,740.615,1491.987,INF
18,INF,INF,INF,INF,INF,INF,INF
19,1285.012,1216.963,1489.405,811.844,975.99,1593.593,INF
Mar22,56,64,128,256,512,1024,2048
0,492.402,538.866,605.826,512.781,531.345,498.21,INF
9,480.036,533.064,443.819,571.939,514.546,574.691,INF
11,700.498,1072.993,1584.243,1362.742,1205.419,3881.983,INF
13,918.588,670.801,919.298,699.862,669.749,808.307,INF
18,1345.747,1145.386,1055.796,1244.308,1348.076,1134.569,INF
20,465.754,459.921,456.367,475.387,461.317,562.451,INF
Mar23,56,64,128,256,512,1024,2048
0,928.504,664.115,812.29,742.955,542.484,890.382,INF
Mar24,56,64,128,256,512,1024,2048
