Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,1080.885,889.633,939.76,930.007,1008.238,1097.157,1018.648
11,510.285,483.811,479.194,631.607,653.073,640.181,554.694
13,429.526,499.975,523.699,520.753,525.638,565.469,456.741
16,424.119,415.662,426.59,494.675,399.656,409.952,374.778
19,698.621,444.442,608.253,544.726,693.472,552.744,638.389
Mar21,56,64,128,256,512,1024,2048
0,410.814,421.784,496.048,340.517,404.147,504.342,402.018
9,723.059,1310.223,963.903,1019.39,2046.11,2123.001,1146.515
11,1060.503,1013.91,1040.377,734.587,1139.636,817.533,877.245
13,1202.69,2768.655,1080.551,924.041,1029.195,1516.177,INF
15,691.297,761.076,1239.056,1361.937,925.553,2758.475,959.006
Mar22,56,64,128,256,512,1024,2048
Mar23,56,64,128,256,512,1024,2048
Mar24,56,64,128,256,512,1024,2048
