Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,938.497,942.149,INF,INF,INF,INF,INF
11,206.197,200.711,INF,INF,INF,INF,INF
13,254.291,222.667,INF,INF,INF,INF,INF
16,203.371,213.619,INF,INF,INF,INF,INF
19,475.959,222.212,INF,INF,INF,INF,INF
Mar21,56,64,128,256,512,1024,2048
0,201.994,237.966,INF,INF,INF,INF,INF
9,408.128,317.278,INF,INF,INF,INF,INF
11,1084.06,872.627,INF,INF,INF,INF,INF
13,531.427,746.525,INF,INF,INF,INF,INF
15,1184.27,735.62,INF,INF,INF,INF,INF
18,INF,INF,INF,INF,INF,INF,INF
19,214.74,595.651,INF,INF,INF,INF,INF
Mar22,56,64,128,256,512,1024,2048
0,238.646,230.766,INF,INF,INF,INF,INF
9,144.692,115.554,INF,INF,INF,INF,INF
11,394.702,282.709,INF,INF,INF,INF,INF
13,553.554,876.982,INF,INF,INF,INF,INF
Mar23,56,64,128,256,512,1024,2048
Mar24,56,64,128,256,512,1024,2048
