Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,1277.125,1004.044,INF,INF,INF,INF,INF
11,540.201,596.658,INF,INF,INF,INF,INF
13,624.918,630.998,INF,INF,INF,INF,INF
16,555.732,657.865,INF,INF,INF,INF,INF
19,1189.49,1372.535,INF,INF,INF,INF,INF
Mar21,56,64,128,256,512,1024,2048
0,518.047,508.025,INF,INF,INF,INF,INF
9,859.096,1165.823,INF,INF,INF,INF,INF
11,INF,INF,INF,INF,INF,INF,INF
13,607.324,762.422,INF,INF,INF,INF,INF
15,713.079,589.022,INF,INF,INF,INF,INF
Mar22,56,64,128,256,512,1024,2048
Mar23,56,64,128,256,512,1024,2048
Mar24,56,64,128,256,512,1024,2048
