Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,673.24,911.234,671.651,1055.397,929.235,834.812,890.116
11,311.866,248.786,258.416,303.139,409.575,378.963,451.04
13,246.635,268.294,291.956,242.646,296.299,312.939,357.824
16,243.766,279.663,241.005,256.536,277.97,534.232,314.422
19,853.441,296.055,390.745,268.51,616.627,363.837,448.457
Mar21,56,64,128,256,512,1024,2048
0,253.441,208.142,INF,261.906,173.539,252.335,232.798
9,449.512,432.373,358.849,375.165,690.604,520.304,302.575
11,INF,INF,INF,INF,INF,INF,INF
13,323.95,527.542,605.323,551.976,727.179,1039.762,565.276
15,678.755,569.531,653.556,477.356,1884.686,3988.594,850.607
18,INF,INF,INF,INF,INF,INF,INF
19,864.525,457.553,1053.472,1370.396,980.052,822.724,1119.496
Mar22,56,64,128,256,512,1024,2048
0,284.33,229.219,291.844,231.233,246.096,306.262,303.684
9,174.859,91.685,141.823,123.587,149.135,185.471,228.752
11,674.377,1087.448,INF,528.671,929.973,4584.62,358.579
13,314.785,297.651,271.077,310.56,291.232,472.837,463.857
18,741.238,424.801,294.449,359.087,303.257,600.386,434.483
20,604.841,240.06,200.097,318.047,463.779,1831.28,952.202
Mar23,56,64,128,256,512,1024,2048
0,237.305,255.747,317.754,248.708,318.023,473.314,320.631
Mar24,56,64,128,256,512,1024,2048
