Mar19,56,64,128,256,512,1024,2048
Mar20,56,64,128,256,512,1024,2048
9,1078.893,931.68,971.753,1549.418,1000.795,1255.823,1127.684
11,208.556,309.76,404.936,331.263,459.089,511.904,605.16
13,291.688,271.983,234.592,377.964,316.057,416.491,304.152
16,194.876,234.767,456.734,313.541,288.103,345.679,528.201
19,340.044,347.69,802.32,358.56,879.631,1123.313,1245.718
Mar21,56,64,128,256,512,1024,2048
0,231.769,196.645,362.484,227.671,179.677,275.635,235.252
9,386.035,368.443,302.611,407.569,558.298,567.551,1554.314
11,227.945,280.736,1177.159,806.925,545.603,394.937,350.706
13,450.837,580.995,702.334,918.875,1213.259,833.746,438.944
15,216.452,234.081,1116.329,1587.466,2633.06,3451.854,INF
18,INF,INF,INF,INF,INF,INF,INF
19,INF,3201.201,3162.536,1182.765,1885.049,1079.73,370.52
Mar22,56,64,128,256,512,1024,2048
0,199.892,248.481,246.14,193.436,249.732,271.147,214.674
9,103.71,108.304,100.994,141.428,138.555,182.262,202.85
11,350.963,661.147,1020.438,307.869,282.863,269.142,453.56
13,444.63,525.876,1129.343,1102.222,1322.915,1296.851,974.432
18,468.74,969.279,650.512,669.095,527.648,256.58,864.987
20,187.547,212.713,219.27,300.63,519.407,291.723,292.975
Mar23,56,64,128,256,512,1024,2048
0,262.09,278.387,290.91,287.528,518.105,740.91,374.809
Mar24,56,64,128,256,512,1024,2048
